accession	nid	size	phylum	genus	species	strain	trophic	pathogenic
AB028081	AB028081.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AF100950	g4868004	293	Actinobacteria	Tropheryma	whippelii		h	p
AB028082	AB028082.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028083	AB028083.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AF100951	g4868005	293	Actinobacteria	Tropheryma	whippelii		h	p
AB028084	AB028084.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028085	AB028085.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028086	AB028086.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028087	AB028087.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028088	AB028088.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028089	AB028089.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028090	AB028090.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028091	AB028091.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028092	AB028092.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028093	AB028093.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AB028094	AB028094.1 GI:50517	418	Firmicutes	Ureaplasma	urealyticum		h	p
AF489598	AF489598.1 GI:19550	595	Firmicutes	Streptococcus	equi	19	h	p
AF489610	AF489610.1 GI:19550	532	Firmicutes	Streptococcus	suis	33	h	p
AF098257	g3873272	464	Proteobacteria	Pseudomonas	syringae	36	h	u
AF098251	g3873266	450	Proteobacteria	Pseudomonas	syringae	60	h	u
AF489603	AF489603.1 GI:19550	586	Firmicutes	Streptococcus	porcinus	61	h	p
AF098252	g3873267	450	Proteobacteria	Pseudomonas	syringae	70	h	u
AF291411	AF291411.1 GI:15077	278	Firmicutes	Streptococcus	agalactiae	090	h	p
AF098249	g3873264	452	Proteobacteria	Pseudomonas	syringae	212	h	u
AF098255	g3873270	464	Proteobacteria	Pseudomonas	syringae	216	h	u
AJ420050	AJ420050.1 GI:18496	371	Firmicutes	Bacillus	anthracis	282	h	p
AF489597	AF489597.1 GI:19550	415	Firmicutes	Streptococcus	pyogenes	282	h	p
AF098250	g3873265	452	Proteobacteria	Pseudomonas	syringae	285	h	u
AF098253	g3873268	452	Proteobacteria	Pseudomonas	syringae	308	h	u
